Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,17/11/2024 15:07:28,Service Control Manager,7036,Ninguno,"El servicio Spooler entró en estado ""en ejecución""."
Información,17/11/2024 13:40:13,Service Control Manager,7036,Ninguno,"El servicio Spooler entró en estado ""en ejecución""."
Información,17/11/2024 13:18:33,Service Control Manager,7036,Ninguno,"El servicio Spooler entró en estado ""en ejecución""."
Información,17/11/2024 13:15:50,Service Control Manager,7036,Ninguno,"El servicio Spooler entró en estado ""en ejecución""."
