Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,17/11/2024 16:37:46,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""en ejecución""."
Información,17/11/2024 16:37:21,Service Control Manager,7036,Ninguno,"El servicio Instalador de módulos de Windows entró en estado ""en ejecución""."
Información,17/11/2024 16:36:35,Service Control Manager,7036,Ninguno,"El servicio Servicio de transferencia inteligente en segundo plano (BITS) entró en estado ""en ejecución""."
Información,17/11/2024 16:36:34,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.
Información,17/11/2024 16:35:34,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""detenido""."
Información,17/11/2024 16:35:33,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""en ejecución""."
Información,17/11/2024 16:33:47,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""detenido""."
Información,17/11/2024 16:33:46,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""en ejecución""."
Información,17/11/2024 16:33:46,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""en ejecución""."
Información,17/11/2024 16:28:00,Service Control Manager,7036,Ninguno,"El servicio Windows Update entró en estado ""detenido""."
Información,17/11/2024 16:27:17,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""detenido""."
Información,17/11/2024 16:21:57,Service Control Manager,7036,Ninguno,"El servicio Bitvise SSH Server entró en estado ""en ejecución""."
Información,17/11/2024 16:21:33,Service Control Manager,7045,Ninguno,"Se instaló un servicio en el sistema.

Nombre del servicio:  Bitvise SSH Server
Nombre del archivo del servicio:  ""C:\Program Files\Bitvise SSH Server\BvSshServer.exe""
Tipo de servicio:  servicio de modo usuario
Tipo de inicio de servicio:  inicio automático
Cuenta de servicio:  LocalSystem"
Información,17/11/2024 16:20:49,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""detenido""."
Información,17/11/2024 16:20:47,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""en ejecución""."
Información,17/11/2024 16:20:25,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""en ejecución""."
Información,17/11/2024 16:20:24,Service Control Manager,7036,Ninguno,"El servicio Bitvise SSH Server entró en estado ""detenido""."
Información,17/11/2024 16:20:22,Service Control Manager,7036,Ninguno,"El servicio Optimización de distribución entró en estado ""detenido""."
Información,17/11/2024 16:20:16,Service Control Manager,7036,Ninguno,"El servicio Información de la aplicación entró en estado ""en ejecución""."
Información,17/11/2024 16:17:46,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""detenido""."
Información,17/11/2024 16:14:04,Service Control Manager,7036,Ninguno,"El servicio Bitvise SSH Server entró en estado ""en ejecución""."
Información,17/11/2024 16:12:39,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""detenido""."
Información,17/11/2024 16:12:30,Service Control Manager,7036,Ninguno,"El servicio Servicio de transferencia inteligente en segundo plano (BITS) entró en estado ""detenido""."
Información,17/11/2024 16:12:30,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.
Información,17/11/2024 16:11:42,Service Control Manager,7045,Ninguno,"Se instaló un servicio en el sistema.

Nombre del servicio:  Bitvise SSH Server
Nombre del archivo del servicio:  ""C:\Program Files\Bitvise SSH Server\BvSshServer.exe""
Tipo de servicio:  servicio de modo usuario
Tipo de inicio de servicio:  inicio automático
Cuenta de servicio:  LocalSystem"
Información,17/11/2024 16:11:34,Service Control Manager,7036,Ninguno,"El servicio Instalador de módulos de Windows entró en estado ""detenido""."
Información,17/11/2024 16:10:35,Service Control Manager,7036,Ninguno,"El servicio Proveedor de instantáneas de software de Microsoft entró en estado ""detenido""."
Información,17/11/2024 16:09:52,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""en ejecución""."
Información,17/11/2024 16:09:09,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Instalador de módulos de Windows se cambió de inicio automático a inicio por solicitud.
Información,17/11/2024 16:08:45,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Instalador de módulos de Windows se cambió de inicio por solicitud a inicio automático.
Información,17/11/2024 16:08:39,Service Control Manager,7036,Ninguno,"El servicio Instalador de módulos de Windows entró en estado ""en ejecución""."
Información,17/11/2024 16:08:35,Service Control Manager,7036,Ninguno,"El servicio Servicio de transferencia inteligente en segundo plano (BITS) entró en estado ""en ejecución""."
Información,17/11/2024 16:08:30,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""detenido""."
Información,17/11/2024 16:08:05,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.
Información,17/11/2024 16:07:42,Service Control Manager,7036,Ninguno,"El servicio Ayudante para el inicio de sesión de cuenta Microsoft entró en estado ""detenido""."
Información,17/11/2024 16:07:39,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""en ejecución""."
Información,17/11/2024 16:07:35,Service Control Manager,7036,Ninguno,"El servicio Instantáneas de volumen entró en estado ""detenido""."
Información,17/11/2024 16:07:23,Service Control Manager,7036,Ninguno,"El servicio Instalador de módulos de Windows entró en estado ""detenido""."
Información,17/11/2024 16:07:10,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""detenido""."
Información,17/11/2024 16:07:04,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""en ejecución""."
Información,17/11/2024 16:06:46,Service Control Manager,7036,Ninguno,"El servicio Servicio Informe de errores de Windows entró en estado ""detenido""."
Información,17/11/2024 16:06:23,Microsoft-Windows-WindowsUpdateClient,44,Agente de Windows Update,Windows Update comenzó a descargar una actualización.
Información,17/11/2024 16:06:23,Microsoft-Windows-WindowsUpdateClient,44,Agente de Windows Update,Windows Update comenzó a descargar una actualización.
Información,17/11/2024 16:06:23,Microsoft-Windows-WindowsUpdateClient,44,Agente de Windows Update,Windows Update comenzó a descargar una actualización.
Información,17/11/2024 16:06:23,Microsoft-Windows-WindowsUpdateClient,44,Agente de Windows Update,Windows Update comenzó a descargar una actualización.
Información,17/11/2024 16:06:18,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""detenido""."
Información,17/11/2024 16:06:05,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""detenido""."
Información,17/11/2024 16:05:21,Service Control Manager,7036,Ninguno,"El servicio Optimización de distribución entró en estado ""en ejecución""."
Información,17/11/2024 16:04:59,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""en ejecución""."
Información,17/11/2024 16:04:46,Service Control Manager,7036,Ninguno,"El servicio Servicio Informe de errores de Windows entró en estado ""en ejecución""."
Información,17/11/2024 16:04:44,Service Control Manager,7036,Ninguno,"El servicio Servicio de Windows Update Medic entró en estado ""en ejecución""."
Información,17/11/2024 16:04:43,Service Control Manager,7036,Ninguno,"El servicio Conexiones de red entró en estado ""en ejecución""."
Información,17/11/2024 16:04:41,Service Control Manager,7036,Ninguno,"El servicio Ayudante para el inicio de sesión de cuenta Microsoft entró en estado ""en ejecución""."
Información,17/11/2024 16:04:40,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""en ejecución""."
Información,17/11/2024 16:04:39,Service Control Manager,7036,Ninguno,"El servicio Host de sistema de diagnóstico entró en estado ""en ejecución""."
Información,17/11/2024 16:04:39,Service Control Manager,7036,Ninguno,"El servicio Windows Update entró en estado ""en ejecución""."
