Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,17/11/2024 15:07:25,Service Control Manager,7036,Ninguno,"El servicio Dhcp entró en estado ""en ejecución""."
Información,17/11/2024 13:40:08,Service Control Manager,7036,Ninguno,"El servicio Dhcp entró en estado ""en ejecución""."
Información,17/11/2024 13:18:26,Service Control Manager,7036,Ninguno,"El servicio Dhcp entró en estado ""en ejecución""."
Información,17/11/2024 13:15:47,Service Control Manager,7036,Ninguno,"El servicio Dhcp entró en estado ""en ejecución""."
